"Kind","Name","PercentLackOfCohesion","CountClassCoupled","SumCyclomatic","MaxNesting","CountClassDerived","CountClassBase","MaxInheritanceTree"
"Public Class","org.repodriller.filter.range.BetweenTags",0,5,2,0,0,2,1
"Public Constructor","org.repodriller.filter.range.BetweenTags.BetweenTags",,,1,0,,,
"Public Method","org.repodriller.filter.range.BetweenTags.get",,,1,0,,,
"Public Interface","org.repodriller.filter.range.CommitRange",0,2,0,0,11,0,0
"Abstract Method","org.repodriller.filter.range.CommitRange.get",,,0,0,,,
"Public Class","org.repodriller.filter.range.Commits",0,14,10,0,0,1,1
"Public Static Method","org.repodriller.filter.range.Commits.all",,,1,0,,,
"Public Static Method","org.repodriller.filter.range.Commits.betweenDates",,,1,0,,,
"Public Static Method","org.repodriller.filter.range.Commits.betweenTags",,,1,0,,,
"Public Static Method","org.repodriller.filter.range.Commits.daily",,,1,0,,,
"Public Static Method","org.repodriller.filter.range.Commits.list",,,1,0,,,
"Public Static Method","org.repodriller.filter.range.Commits.monthly",,,1,0,,,
"Public Static Method","org.repodriller.filter.range.Commits.onlyInHead",,,1,0,,,
"Public Static Method","org.repodriller.filter.range.Commits.range",,,1,0,,,
"Public Static Method","org.repodriller.filter.range.Commits.since",,,1,0,,,
"Public Static Method","org.repodriller.filter.range.Commits.single",,,1,0,,,
"Public Class","org.repodriller.filter.range.DailyCommits",33,7,5,2,0,2,1
"Public Constructor","org.repodriller.filter.range.DailyCommits.DailyCommits",,,1,0,,,
"Public Method","org.repodriller.filter.range.DailyCommits.get",,,3,2,,,
"Private Method","org.repodriller.filter.range.DailyCommits.isFarFromTheLastOne",,,1,0,,,
"Public Class","org.repodriller.filter.range.LastMonths",25,6,4,2,0,2,1
"Public Constructor","org.repodriller.filter.range.LastMonths.LastMonths",,,1,0,,,
"Public Method","org.repodriller.filter.range.LastMonths.get",,,3,2,,,
"Public Class","org.repodriller.filter.range.LastMonthsTest",0,11,3,0,0,1,1
"Public Method","org.repodriller.filter.range.LastMonthsTest.setUp",,,1,0,,,
"Public Method","org.repodriller.filter.range.LastMonthsTest.should_get_all_commits_until_number_of_months",,,1,0,,,
"Public Method","org.repodriller.filter.range.LastMonthsTest.should_not_all_commits_after_number_of_months",,,1,0,,,
"Public Class","org.repodriller.filter.range.ListOfCommits",0,5,4,2,0,2,1
"Public Constructor","org.repodriller.filter.range.ListOfCommits.ListOfCommits",,,1,0,,,
"Public Method","org.repodriller.filter.range.ListOfCommits.get",,,3,2,,,
"Public Class","org.repodriller.filter.range.ListOfCommitsTest",25,11,2,0,0,1,1
"Public Method","org.repodriller.filter.range.ListOfCommitsTest.setUp",,,1,0,,,
"Public Method","org.repodriller.filter.range.ListOfCommitsTest.should_get_commits_in_range",,,1,0,,,
"Public Class","org.repodriller.filter.range.MonthlyCommits",33,7,5,2,0,2,1
"Public Constructor","org.repodriller.filter.range.MonthlyCommits.MonthlyCommits",,,1,0,,,
"Public Method","org.repodriller.filter.range.MonthlyCommits.get",,,3,2,,,
"Private Method","org.repodriller.filter.range.MonthlyCommits.isFarFromTheLastOne",,,1,0,,,
"Public Class","org.repodriller.filter.range.OnlyInHead",0,4,1,0,0,2,1
"Public Method","org.repodriller.filter.range.OnlyInHead.get",,,1,0,,,
